feature,importance
sales_rolling_mean_7d,0.5742673
sales_rolling_mean_14d,0.26557207
sales_lag_7d,0.040817503
sales_lag_14d,0.030711459
is_zero_sale,0.009987144
consecutive_zeros,0.0099504115
is_weekend,0.0073113833
sales_lag_28d,0.0065349014
sales_trend_7d,0.00438366
sales_rolling_mean_30d,0.0034345628
day_of_week,0.0034282554
payday_spending,0.0030700206
category_encoded,0.0030667272
is_month_start,0.0029981348
is_payday_week,0.0029937627
store_product_avg,0.0020435052
family_encoded,0.0020399268
sales_rolling_std_7d,0.001971849
is_perishable,0.0018833668
day_of_month,0.0017541747
is_end_of_month,0.0017175267
zero_sales_last_7d,0.0015862563
is_eid_preparation,0.0015808917
day_of_year,0.0012743814
sales_rolling_std_14d,0.0011885117
is_month_end,0.0011748669
onpromotion_count,0.0011514428
family_avg_sales,0.0010926476
week_of_year,0.000918398
oil_price,0.00083736127
month,0.0008236877
year,0.0007807064
quarter,0.00077766663
store_avg_daily_sales,0.00076040934
onpromotion,0.0006926452
is_ramadan_period,0.0006778385
ramadan_fmcg,0.0006625857
promo_weekend,0.0006412656
store_type_encoded,0.00052701525
cluster,0.0005171556
is_friday,0.00048503038
is_wedding_season,0.00045596284
is_summer_peak,0.00045595097
wedding_grocery,0.00044882175
is_school_season,0.00040055954
is_fmcg,0.00015024953
is_national_holiday,0.0
is_holiday,0.0
